Year,tas_diff
1850,-0.3224791567656866
1851,-0.33571145818133197
1852,-0.23215269372534017
1853,-0.24946782448878801
1854,-0.31122789579627286
1855,-0.31962600278836084
1856,-0.24704476330984104
1857,-0.4010821987302111
1858,-0.3147872571883478
1859,-0.28159085635707454
1860,-0.16350908763886168
1861,-0.2416459979688402
1862,-0.3411466912612383
1863,-0.11308401729044047
1864,0.06885181318434291
1865,0.03284348782473423
1866,-0.20938106524095915
1867,-0.030169047652299746
1868,0.009393976231659197
1869,-0.06886445505943138
1870,-0.1367341746871422
1871,0.11984421759404304
1872,-0.1556190733052201
1873,-0.10658088412502714
1874,0.07527680776604337
1875,0.1437083305368122
1876,0.11701247334582687
1877,0.008019790590101383
1878,-0.3875912679839544
1879,-0.3917341771644037
1880,-0.002669405428111421
1881,-0.008536039682396704
1882,0.04579316500553773
1883,-0.2070157897399772
1884,-0.27015383703054635
1885,-0.22261296337097047
1886,-0.2341028583163669
1887,-0.2119006065792026
1888,-0.07876362810902787
1889,0.07152122290550765
1890,-0.16192851843273282
1891,0.23737142220650537
1892,0.01208942059647656
1893,0.07580873719351
1894,0.03933046236248028
1895,-0.025563300647381867
1896,0.06782666505620152
1897,0.04808103482225762
1898,0.19128858324478804
1899,0.18122218552233307
1900,0.2865466172864701
1901,0.09528653298718495
1902,0.2171509357789727
1903,0.17715013000232663
1904,0.20626594192243217
1905,0.09524727574686112
1906,0.35136912856065045
1907,0.18576471201294087
1908,0.04749495724938208
1909,0.2737198688548385
1910,0.21672058580766979
1911,-0.09306299859975954
1912,0.3357399312886436
1913,0.3435840137689342
1914,0.17769073513925163
1915,0.18568925422152963
1916,0.2060831031471146
1917,0.2631998710674357
1918,0.2095704695382286
1919,0.28614212710108106
1920,0.31291847870052614
1921,0.06202595230129815
1922,0.15486486522228426
1923,0.09626382890299179
1924,0.03601229238916198
1925,-0.03021217819938704
1926,0.12750054517727677
1927,0.29559448006930134
1928,0.09318687448440643
1929,-0.036734240001537966
1930,0.10817844171776442
1931,0.1989084710943529
1932,0.017831637201174366
1933,-0.11761238413389247
1934,-0.18624623231798682
1935,-0.09357456570553663
1936,-0.020718711246579813
1937,0.002141277284727572
1938,0.08180770991423736
1939,-0.01155218164165206
1940,-0.11145942300220302
1941,-0.19726530519305951
1942,-0.2207062052505624
1943,-0.19495220669243718
1944,-0.192511724666383
1945,-0.2430829605711604
1946,-0.2989598984506938
1947,-0.2640261205701991
1948,-0.12298065456477625
1949,-0.2138106829340618
1950,-0.25394812645060433
1951,-0.31578796784225005
1952,-0.34285462365742503
1953,-0.49733769217487805
1954,-0.32582281746083297
1955,-0.45208232937840975
1956,-0.4401716129789081
1957,-0.4337104458148753
1958,-0.4065170681187498
1959,-0.32876782328464116
1960,-0.4587247826127566
1961,-0.5097775740401741
1962,-0.3830175597494926
1963,-0.6609556523724583
1964,-0.4376420499430079
1965,-0.38860576219195214
1966,-0.5240252090879738
1967,-0.4376608207647282
1968,-0.31396571089081815
1969,-0.3292573742968435
1970,-0.3212984259783351
1971,-0.28852936274538954
1972,-0.4769159378272516
1973,-0.24248180840545303
1974,-0.28924577548053343
1975,-0.5689215505839649
1976,-0.5396630989623457
1977,-0.1767088172764969
1978,-0.2195975272621873
1979,-0.18009407250337517
1980,-0.1725545296564518
1981,-0.23166189492277067
1982,-0.4381245208647103
1983,-0.5002278114536105
1984,-0.25764491056309224
1985,-0.12831049888506385
1986,-0.22615761867492457
1987,-0.39548119516652025
1988,-0.48398484320576385
1989,-0.7384769671253641
1990,-0.1952956892586789
1991,-0.17157796995292163
1992,-0.39433921740544975
1993,-0.40844005458132215
1994,-0.3499276941215633
1995,-0.1688401807343588
1996,-0.16833054118998736
1997,-0.3550345563778754
1998,-0.5035310691772175
1999,-0.4211480875070118
2000,-0.4303682910420905
2001,-0.5718045253525005
2002,-0.555338018043002
2003,-0.3541992008919119
2004,-0.3755312754180884
2005,-0.2888429149323892
2006,-0.46857655640519025
2007,-0.3556889347199661
2008,-0.33985220410316197
2009,-0.4055070145743296
2010,-0.3238664928291135
2011,-0.36736216653510056
2012,-0.5730716722750562
2013,-0.5337798550319475
2014,-0.39394677110555487
2015,-0.37348358825708616
2016,-0.727533810467742
2017,-0.6253440178163261
2018,-0.24432710120422096
2019,-0.22497537209939034
2020,-0.4279677058095417
2021,-0.4922793866682882
2022,-0.35759335250527013
2023,-0.19602041894846445
2024,-0.3527777085433965
2025,-0.2665680524461427
2026,-0.18555173220158938
2027,-0.018609809409873446
2028,-0.10295947557362806
2029,0.016265202697327785
2030,0.0874098693664136
2031,-0.16334959759650491
2032,0.18255250574310566
2033,0.27717148128701674
2034,0.24335569491455966
2035,-0.08460397726847413
2036,-0.20492848771101246
2037,0.2633192308121597
2038,0.35250331690975467
2039,0.23008962164150848
2040,-0.003567339502899447
2041,0.056379538551186936
2042,0.31339826677866744
2043,-0.053687222020293746
2044,0.10271804414285146
2045,0.32233772519296755
2046,0.2209860122996341
2047,0.17222376959129448
2048,0.2871256195534939
2049,0.24457707409640772
2050,0.07873108043979071
2051,0.15441800052185517
2052,0.2088644697594093
2053,0.2508964463426069
2054,0.313293547856782
2055,0.2652493798824329
2056,0.2983850757321176
2057,0.41253764056862874
2058,0.2463294099887472
2059,0.1858315307378562
2060,0.26073082485005106
2061,0.3314927809122432
2062,0.469418844181305
2063,0.21269868036825734
2064,0.23282054319071133
2065,0.5155717722342605
2066,0.4695370938674186
2067,0.2093258852733726
2068,0.42787678578073596
2069,0.3910912258846233
2070,0.11014944652032099
2071,0.600708278069201
2072,0.6044581742291526
2073,0.15593672200980535
2074,-0.013834259811559946
2075,0.5533936512967275
2076,0.6604450433815989
2077,0.2637433479648861
2078,-0.01227397989500556
2079,0.5502459059603879
2080,0.6168092385012569
2081,0.5232024574022631
2082,0.14965896419725144
2083,-0.010156792450551677
2084,0.015618720472739156
2085,0.10192849416284755
2086,0.46818842578684006
2087,0.540991642524224
2088,0.1292079979636931
2089,-0.1641452856274226
2090,0.44109248476526286
2091,0.40806048472615064
2092,0.07437176563926062
2093,-0.2319978590357259
2094,0.3817634593696786
2095,0.4769765100651009
2096,0.36341768852526446
2097,0.3462308936064682
2098,0.13524384893435037
2099,0.1605984945847716
2100,0.40780718886290757
