,model,exp,member,calendar
0,ACCESS-CM2,1pctCO2,r1i1p1f1,proleptic_gregorian
1,ACCESS-CM2,abrupt-4xCO2,r1i1p1f1,proleptic_gregorian
2,ACCESS-CM2,hist-GHG,r1i1p1f1,proleptic_gregorian
3,ACCESS-CM2,hist-GHG,r2i1p1f1,proleptic_gregorian
4,ACCESS-CM2,hist-GHG,r3i1p1f1,proleptic_gregorian
5,ACCESS-CM2,hist-aer,r1i1p1f1,proleptic_gregorian
6,ACCESS-CM2,hist-aer,r2i1p1f1,proleptic_gregorian
7,ACCESS-CM2,hist-aer,r3i1p1f1,proleptic_gregorian
8,ACCESS-CM2,hist-nat,r1i1p1f1,proleptic_gregorian
9,ACCESS-CM2,hist-nat,r2i1p1f1,proleptic_gregorian
10,ACCESS-CM2,hist-nat,r3i1p1f1,proleptic_gregorian
11,ACCESS-CM2,historical,r1i1p1f1,proleptic_gregorian
12,ACCESS-CM2,historical,r2i1p1f1,proleptic_gregorian
13,ACCESS-CM2,historical,r3i1p1f1,proleptic_gregorian
14,ACCESS-CM2,historical,r4i1p1f1,proleptic_gregorian
15,ACCESS-CM2,historical,r5i1p1f1,proleptic_gregorian
16,ACCESS-CM2,piClim-4xCO2,r1i1p1f1,proleptic_gregorian
17,ACCESS-CM2,piClim-control,r1i1p1f1,proleptic_gregorian
18,ACCESS-CM2,piControl,r1i1p1f1,proleptic_gregorian
19,ACCESS-CM2,ssp126,r1i1p1f1,proleptic_gregorian
20,ACCESS-CM2,ssp126,r2i1p1f1,proleptic_gregorian
21,ACCESS-CM2,ssp126,r3i1p1f1,proleptic_gregorian
22,ACCESS-CM2,ssp126,r4i1p1f1,proleptic_gregorian
23,ACCESS-CM2,ssp126,r5i1p1f1,proleptic_gregorian
24,ACCESS-CM2,ssp245,r1i1p1f1,proleptic_gregorian
25,ACCESS-CM2,ssp245,r2i1p1f1,proleptic_gregorian
26,ACCESS-CM2,ssp245,r3i1p1f1,proleptic_gregorian
27,ACCESS-CM2,ssp245,r4i1p1f1,proleptic_gregorian
28,ACCESS-CM2,ssp245,r5i1p1f1,proleptic_gregorian
29,ACCESS-CM2,ssp370,r1i1p1f1,proleptic_gregorian
30,ACCESS-CM2,ssp370,r2i1p1f1,proleptic_gregorian
31,ACCESS-CM2,ssp370,r3i1p1f1,proleptic_gregorian
32,ACCESS-CM2,ssp370,r4i1p1f1,proleptic_gregorian
33,ACCESS-CM2,ssp370,r5i1p1f1,proleptic_gregorian
34,ACCESS-CM2,ssp585,r1i1p1f1,proleptic_gregorian
35,ACCESS-CM2,ssp585,r2i1p1f1,proleptic_gregorian
36,ACCESS-CM2,ssp585,r3i1p1f1,proleptic_gregorian
37,ACCESS-CM2,ssp585,r4i1p1f1,proleptic_gregorian
38,ACCESS-CM2,ssp585,r5i1p1f1,proleptic_gregorian
